YYYYMM,total_bic,fatal,serious,light,total_acc,bike_percentage
201501,204,0,19,190,868,23.5
201502,236,0,25,225,802,29.43
201503,344,0,42,316,1041,33.05
201504,432,1,53,412,1186,36.42
201505,660,3,77,618,1493,44.21
201506,702,2,87,665,1617,43.41
201507,664,0,75,640,1545,42.98
201508,592,0,82,565,1381,42.87
201509,565,0,69,542,1438,39.29
201510,413,2,43,391,1301,31.74
201511,410,0,54,373,1201,34.14
201512,296,2,45,270,1051,28.16
201601,136,0,11,128,698,19.48
201602,326,1,37,304,1497,21.78
201603,265,2,22,250,846,31.32
201604,458,3,54,442,1200,38.17
201605,684,1,80,647,1498,45.66
201606,756,1,89,723,1653,45.74
201607,615,2,82,575,1382,44.5
201608,511,2,64,487,1259,40.59
201609,655,2,71,631,1475,44.41
201610,341,1,36,322,1153,29.58
201611,342,1,37,318,1114,30.7
201612,229,2,32,202,986,23.23
201701,158,0,17,145,789,20.03
201702,153,0,11,146,726,21.07
201703,407,1,54,384,1156,35.21
201704,359,0,43,339,1022,35.13
201705,628,0,86,595,1504,41.76
201706,699,2,99,656,1522,45.93
201707,614,0,77,570,1473,41.68
201708,534,3,72,507,1313,40.67
201709,510,1,73,466,1351,37.75
201710,465,0,53,440,1328,35.02
201711,372,2,48,337,1177,31.61
201712,254,1,32,237,1022,24.85
201801,276,2,35,249,990,27.88
201802,218,0,40,188,801,27.22
201803,243,0,30,223,879,27.65
201804,492,1,73,456,1332,36.94
201805,753,0,135,677,1607,46.86
201806,738,3,91,695,1638,45.05
201807,611,1,72,590,1364,44.79
201808,619,1,88,595,1441,42.96
201809,649,2,100,604,1500,43.27
201810,483,1,57,461,1368,35.31
201811,402,0,46,388,1165,34.51
201812,271,0,35,253,1012,26.78
201901,235,0,26,223,963,24.4
201902,260,1,29,248,867,29.99
201903,336,0,48,302,1010,33.27
201904,510,0,58,486,1240,41.13
201905,560,1,57,530,1329,42.14
201906,752,1,109,690,1602,46.94
201907,545,2,77,508,1325,41.13
201908,744,0,89,725,1546,48.12
201909,530,0,65,504,1406,37.7
201910,484,0,56,465,1358,35.64
201911,366,0,44,340,1203,30.42
201912,300,1,33,281,1027,29.21
202001,301,3,31,282,963,31.26
202002,265,2,30,250,869,30.49
202003,274,0,36,249,741,36.98
202004,395,0,56,367,821,48.11
202005,445,2,62,418,1004,44.32
202006,738,4,93,710,1396,52.87
202007,630,2,75,602,1260,50.0
202008,741,2,105,693,1557,47.59
202009,701,0,100,637,1482,47.3
202010,549,1,61,512,1341,40.94
202011,394,2,43,377,923,42.69
202012,239,0,30,219,739,32.34
202101,153,0,18,143,519,29.48
202102,121,0,13,112,486,24.9
202103,330,2,50,296,846,39.01
202104,333,0,42,313,797,41.78
202105,444,2,50,422,1099,40.4
202106,684,1,97,642,1461,46.82
202107,497,1,77,453,1176,42.26
202108,626,0,96,566,1406,44.52
202109,576,2,68,546,1452,39.67
202110,439,1,57,404,1253,35.04
202111,363,0,37,351,1119,32.44
202112,201,1,19,191,897,22.41
