ujahr,umonat,weekday,uwochentag,long,lat,time_of_day,ustunde,light_condition,ulichtverh,street_condition,ustrzustand,uart,utyp1,ist_rad,ist_pkw,ist_fuss,ist_krad,ist_gkfz,ist_sonstige,ukategorie,accident_outcome
2018,1,Wed,4,52.51359681,13.4750178,afternoon,15,daylight,0,wet,1,6,4,0,1,1,0,0,0,3,slightly_injured
2018,1,Mon,2,52.58725906,13.29102205,morning,11,daylight,0,dry,0,2,6,0,1,0,0,0,0,3,slightly_injured
2018,1,Tue,3,52.52601854,13.42057818,morning,9,daylight,0,dry,0,6,4,0,1,1,0,0,0,3,slightly_injured
2018,1,Mon,2,52.48184447,13.34828776,afternoon,17,dark,2,dry,0,6,7,0,1,1,0,0,0,3,slightly_injured
2018,1,Wed,4,52.58347154,13.40322797,afternoon,15,dusk,1,wet,1,6,7,1,0,1,0,0,0,3,slightly_injured
2018,1,Mon,2,52.5510946,13.54844656,night,5,dark,2,dry,0,2,6,0,1,0,0,0,0,2,seriously_injured
2018,1,Mon,2,52.48571541,13.25639043,afternoon,17,dark,2,wet,1,2,6,0,1,0,0,0,1,3,slightly_injured
2018,1,Thu,5,52.63382261,13.42725182,afternoon,16,dark,2,wet,1,2,6,0,1,0,0,0,0,3,slightly_injured
2018,1,Mon,2,52.51893299,13.41142938,afternoon,14,daylight,0,dry,0,6,4,0,1,1,0,0,0,3,slightly_injured
2018,1,Sat,7,52.57388905,13.35020475,evening,21,dark,2,wet,1,0,1,0,0,0,1,0,0,3,slightly_injured
2018,1,Tue,3,52.52360287,13.41842748,afternoon,17,dark,2,wet,1,2,6,0,1,0,0,0,0,3,slightly_injured
2018,1,Wed,4,52.47010259,13.37773011,afternoon,16,dark,2,wet,1,2,6,0,1,0,0,0,0,3,slightly_injured
2018,1,Thu,5,52.53525526,13.43218628,morning,11,daylight,0,wet,1,5,2,1,1,0,0,0,0,3,slightly_injured
2018,1,Mon,2,52.51417313,13.47089659,morning,8,daylight,0,dry,0,5,2,1,1,0,0,0,0,3,slightly_injured
2018,1,Wed,4,52.51084845,13.39467345,evening,19,dark,2,wet,1,5,7,1,1,0,0,0,0,3,slightly_injured
2018,1,Thu,5,52.54560285,13.44458831,morning,6,dark,2,dry,0,5,2,0,1,0,0,0,0,3,slightly_injured
2018,1,Wed,4,52.45899296,13.50637217,evening,18,dark,2,wet,1,5,3,1,1,0,0,0,0,2,seriously_injured
2018,1,Sun,1,52.51609207,13.17815056,afternoon,15,daylight,0,dry,0,5,3,0,1,0,0,0,0,3,slightly_injured
2018,1,Tue,3,52.47011861,13.37743615,afternoon,13,daylight,0,dry,0,3,6,0,1,0,0,1,0,3,slightly_injured
2018,1,Sat,7,52.50495533,13.44855444,morning,11,daylight,0,dry,0,6,4,1,0,1,0,0,0,3,slightly_injured
2018,1,Tue,3,52.5159128,13.3730303,morning,8,daylight,0,wet,1,5,3,1,1,0,0,0,0,3,slightly_injured
2018,1,Fri,6,52.5970472,13.28410402,morning,7,dusk,1,wet,1,0,7,0,0,0,1,0,0,3,slightly_injured
2018,1,Mon,2,52.43630206,13.37924233,afternoon,15,daylight,0,dry,0,0,3,0,1,0,0,0,1,3,slightly_injured
2018,1,Thu,5,52.54097318,13.41247778,morning,10,daylight,0,wet,1,6,2,0,0,1,0,0,1,3,slightly_injured
2018,1,Wed,4,52.55367547,13.42998793,morning,9,daylight,0,wet,1,1,5,0,1,0,0,1,0,3,slightly_injured
2018,1,Sun,1,52.45312998,13.38449562,night,0,dark,2,dry,0,2,6,0,1,0,0,0,0,2,seriously_injured
2018,1,Wed,4,52.54813473,13.41364244,afternoon,14,daylight,0,wet,1,0,6,0,0,0,1,0,1,3,slightly_injured
2018,1,Wed,4,52.5237397,13.41857706,afternoon,17,dark,2,wet,1,2,6,0,1,0,0,0,0,2,seriously_injured
2018,1,Fri,6,52.54111108,13.36833544,evening,22,dark,2,dry,0,2,6,0,1,0,0,0,0,3,slightly_injured
2018,1,Tue,3,52.51893645,13.41162064,morning,9,daylight,0,dry,0,2,6,0,1,0,0,0,1,3,slightly_injured
2018,1,Thu,5,52.51878227,13.41121885,afternoon,17,dark,2,wet,1,3,6,0,1,0,0,0,0,3,slightly_injured
2018,1,Tue,3,52.61708257,13.31641633,morning,7,dusk,1,icy,2,6,2,0,1,1,0,0,0,3,slightly_injured
2018,1,Sun,1,52.53276686,13.28887346,afternoon,13,daylight,0,dry,0,2,6,0,1,0,0,0,0,3,slightly_injured
2018,1,Mon,2,52.52344572,13.41769328,afternoon,12,daylight,0,dry,0,5,3,1,0,0,0,0,1,3,slightly_injured
2018,1,Wed,4,52.51108677,13.30039993,evening,19,dark,2,dry,0,2,6,0,1,0,0,0,0,3,slightly_injured
2018,1,Mon,2,52.53611592,13.43353746,morning,8,daylight,0,dry,0,6,4,1,0,1,0,0,0,3,slightly_injured
2018,1,Thu,5,52.51883086,13.45367006,morning,8,daylight,0,wet,1,5,3,1,1,0,0,0,0,3,slightly_injured
2018,1,Mon,2,52.54686536,13.29842668,morning,6,dusk,1,dry,0,2,6,0,1,0,0,0,0,3,slightly_injured
