month,bicycle,car,pedestrian,motorbike,truck,other,slightly_injured,seriously_injured,fatal,total_acc_w_injury,alcohol_related,daylight,dark,dusk,dry,wet,icy,YYYYMM,bank_holiday,school_vacation,lockdown,percipation_mm,sunshine_hours,snow_height_mm,aver_temp
2018_01,245,758,247,50,28,129,720,161,3,884,89,388,401,95,358,509,17,201801,1,0,0,67.2,19.5,3.0,3.6
2018_02,201,640,153,39,30,101,608,119,3,730,100,447,235,48,602,107,21,201802,0,6,0,2.6999999999999997,98.5,0.0,-0.9
2018_03,222,700,154,65,27,110,691,109,2,802,108,566,190,46,516,265,21,201803,1,6,0,44.1,84.4,1.5,1.8
2018_04,453,1008,148,214,38,168,1011,202,4,1217,101,1051,123,43,1067,150,0,201804,1,7,0,38.0,170.9,0.0,13.7
2018_05,679,1174,190,257,62,184,1199,261,2,1462,132,1315,96,51,1424,38,0,201805,3,2,0,15.2,232.2,0.0,17.9
2018_06,647,1153,177,289,46,183,1251,212,3,1466,106,1342,88,36,1370,96,0,201806,0,0,0,26.5,156.29999999999998,0.0,19.3
2018_07,547,987,125,241,41,162,1054,179,3,1236,124,1097,104,35,1163,73,0,201807,0,27,0,70.5,222.3,0.0,21.6
2018_08,553,1017,135,274,32,179,1085,223,4,1312,106,1144,117,51,1248,64,0,201808,0,17,0,6.8,185.3,0.0,21.6
2018_09,572,1027,150,292,42,148,1100,223,5,1328,117,1073,179,76,1194,134,0,201809,0,0,0,21.4,141.7,0.0,16.7
2018_10,448,1037,176,225,42,177,1059,186,3,1248,96,867,254,127,999,249,0,201810,1,10,0,16.5,114.3,0.0,11.3
2018_11,376,874,172,127,32,155,897,155,6,1058,118,555,396,107,767,291,0,201811,0,2,0,17.3,47.5,0.0,5.5
2018_12,249,780,236,81,23,120,760,146,3,909,137,352,459,98,340,564,5,201812,2,0,0,47.4,10.1,0.0,4.6
2019_01,215,798,236,55,29,113,729,159,3,891,94,406,382,103,891,0,0,201901,1,0,0,48.2,34.5,1.5,1.5
2019_02,231,680,145,67,31,106,665,119,2,786,93,497,219,70,786,0,0,201902,0,6,0,20.3,81.3,0.0,4.9
2019_03,300,774,148,108,31,117,759,146,2,907,111,628,215,64,907,0,0,201903,1,0,0,62.0,58.6,0.0,7.2
2019_04,456,896,151,178,40,156,959,144,1,1104,96,957,107,40,1104,0,0,201904,2,12,0,9.799999999999999,180.9,0.0,11.2
2019_05,503,984,138,194,43,172,1022,183,2,1207,107,1098,80,29,1207,0,0,201905,2,1,0,24.8,137.4,0.0,12.9
2019_06,675,1132,143,248,60,179,1234,210,4,1448,111,1306,102,40,1448,0,0,201906,1,12,0,64.5,232.0,0.0,22.5
2019_07,478,895,115,239,46,177,989,183,3,1175,92,1024,112,39,1175,0,0,201907,0,31,0,55.0,148.2,0.0,19.9
2019_08,650,1040,148,262,32,182,1177,191,3,1371,136,1210,116,45,1371,0,0,201908,0,2,0,34.1,166.8,0.0,21.0
2019_09,481,1023,161,214,45,179,1082,186,2,1270,140,1028,180,62,1270,0,0,201909,0,0,0,54.0,117.4,0.0,15.2
2019_10,419,972,176,198,43,206,1035,174,5,1214,130,801,330,83,1214,0,0,201910,1,16,0,55.1,87.7,0.0,11.5
2019_11,328,904,214,128,37,159,922,157,1,1080,128,522,474,84,1080,0,0,201911,0,0,0,36.5,29.0,0.0,6.4
2019_12,269,809,193,83,28,135,800,130,6,936,118,380,491,65,936,0,0,201912,2,0,0,29.4,35.8,0.0,4.4
2020_01,274,738,181,75,37,107,712,141,9,862,70,417,358,87,494,362,6,202001,1,0,0,34.9,45.6,0.0,4.5
2020_02,249,661,153,78,32,118,670,116,7,793,96,441,297,55,405,387,1,202002,0,6,0,82.5,35.6,0.0,6.1
2020_03,247,539,83,98,26,89,552,111,2,665,87,490,137,38,496,169,0,202003,1,0,9,30.3,117.4,0.0,5.8
2020_04,355,597,66,130,20,83,632,111,2,745,64,670,55,20,706,39,0,202004,2,12,30,16.8,205.0,0.0,11.0
2020_05,394,696,93,154,29,99,754,139,4,897,98,803,58,36,771,126,0,202005,3,2,4,33.300000000000004,159.3,0.0,12.8
2020_06,654,958,105,191,31,163,1068,176,4,1248,87,1148,64,36,1108,140,0,202006,1,6,0,37.699999999999996,162.5,0.0,19.2
2020_07,570,843,105,182,29,154,954,170,4,1128,113,996,97,35,951,176,1,202007,0,31,0,44.9,155.5,0.0,18.8
2020_08,670,1083,123,277,41,172,1191,211,5,1407,121,1221,128,58,1213,194,0,202008,0,7,0,48.6,165.8,0.0,21.8
2020_09,625,1071,129,226,36,174,1131,208,1,1340,133,1096,167,77,1193,147,0,202009,0,0,0,50.1,145.1,0.0,16.0
2020_10,499,978,139,205,35,151,1057,159,4,1220,122,816,286,118,684,536,0,202010,1,13,0,61.7,46.5,0.0,11.3
2020_11,358,658,116,112,28,106,721,111,3,835,97,523,253,59,633,202,0,202011,0,0,29,17.0,48.3,0.0,7.2
2020_12,214,556,103,69,18,111,581,89,0,670,85,348,263,59,407,250,13,202012,2,0,31,20.8,34.199999999999996,0.0,3.4
