day,weekday,acc_w_inj,fatal1,serious1,light1,fatal,serious,light,serious_only_prop_damage,serious_combined
1.,Mittwoch,42,–,6,36,–,6,45,3,45
2.,Donnerstag,41,–,3,38,–,3,43,3,44
3.,Freitag,46,1,9,36,1,9,47,2,48
4.,Samstag,20,–,6,14,–,6,20,2,22
5.,Sonntag,24,–,10,14,–,13,16,1,25
6.,Montag,49,–,11,38,–,11,53,–,49
7.,Dienstag,61,–,14,47,–,16,60,2,63
8.,Mittwoch,52,1,11,40,1,12,50,2,54
9.,Donnerstag,52,–,8,44,–,8,55,–,52
10.,Freitag,44,–,8,36,–,9,52,–,44
11.,Samstag,20,–,3,17,–,3,20,1,21
12.,Sonntag,33,1,7,25,1,8,39,3,36
13.,Montag,51,–,10,41,–,11,47,2,53
14.,Dienstag,46,–,9,37,–,9,44,2,48
15.,Mittwoch,47,–,10,37,–,10,48,4,51
16.,Donnerstag,69,–,9,60,–,9,83,1,70
17.,Freitag,56,–,9,47,–,12,52,1,57
18.,Samstag,36,–,6,30,–,6,40,1,37
19.,Sonntag,28,–,4,24,–,6,39,1,29
20.,Montag,61,–,8,53,–,8,66,2,63
21.,Dienstag,63,1,6,56,1,7,67,–,63
22.,Mittwoch,73,–,13,60,–,15,67,1,74
23.,Donnerstag,64,–,12,52,–,13,66,2,66
24.,Freitag,52,–,4,48,–,4,57,2,54
25.,Samstag,38,–,6,32,–,6,42,2,40
26.,Sonntag,17,–,–,17,–,–,20,3,20
27.,Montag,49,–,3,46,–,4,50,4,53
28.,Dienstag,36,1,5,30,1,5,33,–,36
29.,Mittwoch,49,–,8,41,–,8,53,2,51
30.,Donnerstag,59,–,8,51,–,8,60,1,60
31.,Freitag,63,–,9,54,–,9,69,2,65
